team_abbr,team_abbr_alt,player_name,position,active
DET,,Cade Cunningham,PG,1
DET,,Jalen Duren,C,1
DET,,Ausar Thompson,SF,1
NYK,NY,Jalen Brunson,PG,1
NYK,NY,Karl-Anthony Towns,C,1
NYK,NY,OG Anunoby,SF,1
NYK,NY,Mikal Bridges,SF,1
TOR,,Brandon Ingram,SF,1
TOR,,Scottie Barnes,PF,1
TOR,,RJ Barrett,SG,1
TOR,,Immanuel Quickley,PG,1
BOS,,Jaylen Brown,SG,1
BOS,,Derrick White,SG,1
BOS,,Payton Pritchard,PG,0
BOS,,Jayson Tatum,PF,1
PHI,,Tyrese Maxey,PG,1
PHI,,Joel Embiid,C,1
ORL,,Paolo Banchero,PF,1
ORL,,Desmond Bane,SG,1
MIA,,Tyler Herro,SG,1
MIA,,Bam Adebayo,C,1
MIA,,Norman Powell,SG,1
CLE,,Donovan Mitchell,SG,1
CLE,,Evan Mobley,PF,1
CLE,,Jarrett Allen,C,1
CLE,,James Harden,PG,1
ATL,,Jalen Johnson,PF,1
ATL,,Nickeil Alexander-Walker,SG,1
ATL,,CJ McCollum,PG,1
CHI,,Josh Giddey,PG,0
CHI,,Matas Buzelis,PF,0
MIL,,Giannis Antetokounmpo,PF,1
CHA,,Miles Bridges,PF,1
CHA,,LaMelo Ball,PG,1
CHA,,Kon Knueppel,SG,1
CHA,,Brandon Miller,SF,1
CHA,,Coby White,PG,1
IND,,Pascal Siakam,PF,0
OKC,,Shai Gilgeous-Alexander,PG,1
OKC,,Chet Holmgren,C,1
OKC,,Jalen Williams,SG,1
OKC,,Isaiah Hartenstein,C,1
DEN,,Nikola Jokic,C,1
DEN,,Jamal Murray,PG,1
LAL,,Luka Doncic,PG,1
LAL,,Austin Reaves,SG,1
LAL,,LeBron James,SF,1
SAS,SA,Victor Wembanyama,C,1
SAS,SA,Stephon Castle,PG,1
SAS,SA,De'Aaron Fox,PG,1
HOU,,Kevin Durant,SF,1
HOU,,Alperen Sengun,C,1
HOU,,Amen Thompson,SF,1
MIN,,Anthony Edwards,SG,1
MIN,,Julius Randle,PF,1
MIN,,Jaden McDaniels,SF,1
MIN,,Rudy Gobert,C,1
PHX,,Devin Booker,SG,1
PHX,,Jalen Green,SG,1
GSW,GS,Stephen Curry,PG,1
GSW,GS,Jimmy Butler,SF,0
DAL,,Cooper Flagg,PF,0
UTA,UTAH,Lauri Markkanen,PF,0
UTA,UTAH,Keyonte George,PG,0
UTA,UTAH,Ace Bailey,SG,0
LAC,,James Harden,PG,0
LAC,,Kawhi Leonard,SF,1
LAC,,Darius Garland,PG,1
